2024-10-27 07:19:52 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-10-27 07:19:52 [main] INFO  c.m.d.k.t.e.s.k.c.c.c.s.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 17.0.13 with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2024-10-27 07:19:52 [main] INFO  c.m.d.k.t.e.s.k.c.c.c.s.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2024-10-27 07:19:53 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=fd844037-3a3d-3c99-a9ec-79672dd4090d
2024-10-27 07:19:54 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8888 (http)
2024-10-27 07:19:54 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2024-10-27 07:19:54 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-10-27 07:19:54 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-10-27 07:19:54 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-10-27 07:19:54 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2087 ms
2024-10-27 07:19:54 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name inMemoryUserDetailsManager
2024-10-27 07:20:00 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2024-10-27 07:20:00 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8888 (http) with context path '/'
2024-10-27 07:20:00 [main] INFO  c.m.d.k.t.e.s.k.c.c.c.s.ConfigServer - Started ConfigServer in 9.138 seconds (process running for 9.709)
2024-10-27 07:20:01 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-10-27 07:20:01 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-10-27 07:20:01 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2024-10-27 07:22:28 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-10017691557552427925/config-client.yml]' via location 'file:/tmp/config-repo-10017691557552427925/'
2024-10-27 07:22:29 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-10017691557552427925/config-client-kafka_to_elastic.yml]' via location 'file:/tmp/config-repo-10017691557552427925/'
2024-10-27 07:22:29 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-10017691557552427925/config-client.yml]' via location 'file:/tmp/config-repo-10017691557552427925/'
2024-10-27 07:58:35 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-10017691557552427925/config-client.yml]' via location 'file:/tmp/config-repo-10017691557552427925/'
2024-10-27 07:58:36 [http-nio-8888-exec-6] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-10017691557552427925/config-client-kafka_to_elastic.yml]' via location 'file:/tmp/config-repo-10017691557552427925/'
2024-10-27 07:58:36 [http-nio-8888-exec-6] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-10017691557552427925/config-client.yml]' via location 'file:/tmp/config-repo-10017691557552427925/'
